Rk,Player,Tm,Salary,,,,,,,-9999
440,Leonard Miller,MIN,$1800000,,,,,,,millele01
441,Skylar Mays,POR,$1799163,,,,,,,mayssk01
442,Joshua Primo,LAC,$6105941,,,,,,,primojo01
443,Daniel Theis,LAC,$8670002,,,,,,,theisda01
444,Kennedy Chandler,MEM,$1719864,,,,,,,chandke01
445,Ryan Rollins,WAS,$1719864,,,,,,,rolliry01
446,Jaden Hardy,DAL,$1719864,,,,,,,hardyja02
447,Xavier Cooks,WAS,$1719864,,,,,,,cooksxa01
448,Christian Koloko,TOR,$1719864,,,,,,,kolokch01
449,Jabari Walker,POR,$1719864,,,,,,,walkeja01
450,Josh Minott,MIN,$1719864,,,,,,,minotjo01
451,Kenneth Lofton Jr.,MEM,,,,,,,,loftoke01
452,Max Christie,LAL,$1719864,,,,,,,chrisma02
453,Bryce McGowens,CHO,$1719864,,,,,,,mcgowbr01
454,Jalen Pickett,DEN,$1708143,,,,,,,pickeja02
455,Julian Phillips,CHI,$1600000,,,,,,,phillju01
456,Spencer Dinwiddie,LAL,$21911797,,,,,,,dinwisp01
457,Eric Bledsoe,POR,$1300000,,,,,,,bledser01
458,Sidy Cissoko,SAS,$1119563,,,,,,,cissosi01
459,Hunter Tyson,DEN,$1119563,,,,,,,tysonhu01
460,Jordan Walsh,BOS,$1119563,,,,,,,walshjo01
461,Rayan Rupert,POR,$1119563,,,,,,,ruperra01
462,Chris Livingston,MIL,$1119563,,,,,,,livinch01
463,Maxwell Lewis,LAL,$1119563,,,,,,,lewisma05
464,Trayce Jackson-Davis,GSW,$1119563,,,,,,,jackstr02
465,Mouhamed Gueye,ATL,$1119563,,,,,,,gueyemo02
466,Toumani Camara,POR,$1119563,,,,,,,camarto01
467,Andre Jackson Jr.,MIL,$1119563,,,,,,,jacksan01
468,Gui Santos,GSW,$1029483,,,,,,,santogu01
469,DaQuan Jeffries,NYK,$831385,,,,,,,jeffrda01
470,James Johnson,IND,$777703,,,,,,,johnsja01
471,Lindy Waters III,OKC,$766095,,,,,,,waterli01
472,Bismack Biyombo,OKC,$5754488,,,,,,,biyombi01
473,Nik Stauskas,IND,$702311,,,,,,,stausni01
474,Keon Ellis,SAC,$683430,,,,,,,elliske01
475,Jack White,OKC,$600000,,,,,,,whiteja03
476,Juwan Morgan,IND,$576230,,,,,,,morgaju01
477,Filip Petrušev,SAC,$559782,,,,,,,petrufi01
478,Malik Fitts,IND,$555217,,,,,,,fittsma01
479,Taj Gibson,NYK,$2497336,,,,,,,gibsota01
480,Lamar Stevens,SAS,$2419706,,,,,,,stevela01
481,Juan Toscano-Anderson,SAC,$439581,,,,,,,toscaju01
482,Nerlens Noel,SAC,$300000,,,,,,,noelne01
483,Didi Louzada,POR,$268032,,,,,,,louzama01
484,Neemias Queta,SAC,$250000,,,,,,,quetane01
485,Danny Green,PHI,$200000,,,,,,,greenda02
486,James Johnson,IND,$777703,,,,,,,johnsja01
487,James Johnson,IND,$777703,,,,,,,johnsja01
488,Taj Gibson,NYK,$2497336,,,,,,,gibsota01
489,Taj Gibson,NYK,$2497336,,,,,,,gibsota01
490,Zhaire Smith,CLE,$139290,,,,,,,smithzh01
491,Juan Toscano-Anderson,SAC,$439581,,,,,,,toscaju01
492,Jaylen Nowell,MEM,,,,,,,,nowelja01
493,Jaylen Nowell,MEM,,,,,,,,nowelja01
494,Hamidou Diallo,WAS,$116075,,,,,,,diallha01
495,Malcolm Hill,NOP,,,,,,,,hillma01
496,Jordan Goodwin,MEM,$1927896,,,,,,,goodwjo01
497,Ashton Hagans,POR,$103550,,,,,,,haganas01
498,Demetrius Jackson,BOS,$92857,,,,,,,jacksde01
499,Tosan Evbuomwan,DET,$135120,,,,,,,evbuoto01
500,Trey Jemison,WAS,,,,,,,,jemistr01
501,Mouhamadou Gueye,TOR,,,,,,,,gueyemo01
502,Taze Moore,POR,$64343,,,,,,,mooreta02
503,Tosan Evbuomwan,MEM,$135120,,,,,,,evbuoto01
504,Trey Jemison,MEM,,,,,,,,jemistr01
505,Matthew Hurt,MEM,,,,,,,,hurtma01
506,Pete Nance,CLE,$64343,,,,,,,nancepe01
